Country,Market_Type,Commodity,Price,Currency,Date,Inflation_Rate,Hunger_Index,Year,Month,Price_Shock_Index,Hunger_Risk_Level
Sudan,Urban,Wheat,27.08,NGN,22-05-2020,6.02,31.22,2020,5,,High
Ethiopia,Unknown,Wheat,116.39,KES,23-09-2015,6.02,31.22,2015,9,,High
Nepal,Urban,Sugar,39.38,INR,15-02-2021,6.02,31.22,2021,2,,High
Pakistan,Wholesale,Rice,97.65,SDG,29-11-2023,6.02,31.22,2023,11,,High
Sudan,Rural,Maize,112.7,ETB,01-08-2021,6.02,31.22,2021,8,,High
Haiti,Retail,Cooking Oil,88.89,SDG,19-05-2015,6.02,31.22,2015,5,,High
Bangladesh,Wholesale,Sugar,89.07,ETB,30-06-2016,6.02,31.22,2016,6,,High
Sudan,Retail,Rice,162.04,ETB,09-03-2019,6.02,31.22,2019,3,,High
Nepal,Rural,Wheat,162.61,ETB,14-02-2019,6.02,31.22,2019,2,,High
Pakistan,Wholesale,Pulses,63.3,HTG,16-05-2024,6.02,31.22,2024,5,,High
Ethiopia,Rural,Rice,76.21,HTG,27-09-2018,6.02,31.22,2018,9,,High
Nepal,Retail,Sugar,78.41,NPR,11-01-2023,6.02,31.22,2023,1,99.11122397,High
Nepal,Urban,Pulses,98.74,NGN,06-05-2020,6.02,31.22,2020,5,,High
Bangladesh,Urban,Wheat,96.72,NPR,14-03-2015,6.02,31.22,2015,3,,High
Kenya,Retail,Rice,168.68,HTG,12-06-2015,6.02,31.22,2015,6,,High
Pakistan,Urban,Cooking Oil,92.58,INR,11-08-2015,6.02,31.22,2015,8,,High
Nigeria,Retail,Maize,58.79,SDG,20-06-2020,6.02,31.22,2020,6,,High
Nepal,Wholesale,Maize,100.76,SDG,04-07-2015,6.02,31.22,2015,7,,High
Kenya,Wholesale,Sugar,114.94,KES,05-04-2015,6.02,31.22,2015,4,,High
Nigeria,Wholesale,Wheat,89.72,ETB,14-11-2016,6.02,31.22,2016,11,,High
Pakistan,Urban,Wheat,112.54,PKR,03-04-2024,6.02,31.22,2024,4,,High
India,Rural,Maize,90.23,INR,02-09-2017,6.02,31.22,2017,9,,High
Haiti,Urban,Rice,128.99,NGN,25-10-2023,6.02,31.22,2023,10,,High
Kenya,Urban,Wheat,96.47,HTG,13-04-2024,6.02,31.22,2024,4,,High
Yemen,Rural,Cooking Oil,51.34,SDG,25-11-2023,6.02,31.22,2023,11,,High
India,Rural,Cooking Oil,86.13,NGN,25-05-2022,6.02,31.22,2022,5,,High
Haiti,Rural,Wheat,188.46,NPR,07-08-2018,6.02,31.22,2018,8,,High
Bangladesh,Rural,Wheat,149.45,SDG,19-12-2021,6.02,31.22,2021,12,54.51819686,High
Sudan,Urban,Maize,53.53,HTG,26-03-2024,6.02,31.22,2024,3,-52.50221828,High
Ethiopia,Retail,Sugar,171.14,NPR,07-11-2023,6.02,31.22,2023,11,,High
Yemen,Wholesale,Maize,105.48,ETB,02-03-2015,6.02,31.22,2015,3,,High
Bangladesh,Retail,Sugar,80.46,INR,18-12-2022,6.02,31.22,2022,12,-9.666554395,High
Pakistan,Urban,Cooking Oil,88.74,SDG,20-10-2020,6.02,31.22,2020,10,-4.147764096,High
Bangladesh,Rural,Sugar,102.27,INR,31-12-2018,6.02,31.22,2018,12,27.10663684,High
Sudan,Wholesale,Maize,143.36,SDG,26-04-2016,6.02,31.22,2016,4,167.8124416,High
Pakistan,Wholesale,Wheat,107.6,YER,25-04-2015,6.02,31.22,2015,4,-4.389550382,High
Yemen,Retail,Sugar,113.34,PKR,14-05-2018,6.02,31.22,2018,5,,High
Sudan,Urban,Maize,148.45,NGN,28-04-2024,6.02,31.22,2024,4,3.550502232,High
Nigeria,Urban,Cooking Oil,84.04,INR,31-03-2024,6.02,31.22,2024,3,,High
Ethiopia,Unknown,Pulses,112.1,NPR,29-06-2017,6.02,31.22,2017,6,,High
Yemen,Wholesale,Sugar,117.56,ETB,07-07-2016,6.02,31.22,2016,7,3.723310394,High
Nigeria,Retail,Cooking Oil,105.39,NPR,20-03-2020,6.02,31.22,2020,3,25.40456925,High
Haiti,Wholesale,Cooking Oil,119.96,NGN,05-04-2019,6.02,31.22,2019,4,34.95331308,High
Yemen,Wholesale,Rice,72.35,BDT,12-10-2023,6.02,31.22,2023,10,,High
Haiti,Rural,Pulses,139.2,BDT,28-12-2024,6.02,31.22,2024,12,,High
Pakistan,Retail,Sugar,77.85,ETB,20-03-2018,6.02,31.22,2018,3,,High
Nigeria,Rural,Maize,118.19,YER,08-02-2022,6.02,31.22,2022,2,101.0375914,High
Ethiopia,Urban,Sugar,108.42,YER,20-05-2015,6.02,31.22,2015,5,-36.64835807,High
Sudan,Wholesale,Sugar,72.54,PKR,20-09-2021,6.02,31.22,2021,9,,High
Nepal,Retail,Pulses,164.9,SDG,04-05-2016,6.02,31.22,2016,5,67.0042536,High
Bangladesh,Urban,Cooking Oil,168.66,YER,14-04-2020,6.02,31.22,2020,4,,High
India,Retail,Cooking Oil,63.17,INR,15-06-2017,6.02,31.22,2017,6,-26.65737838,High
Ethiopia,Wholesale,Cooking Oil,131.97,NGN,24-07-2015,6.02,31.22,2015,7,,High
Nigeria,Retail,Cooking Oil,95.1,KES,31-05-2021,6.02,31.22,2021,5,-9.7637347,High
Nepal,Urban,Pulses,73.05,BDT,18-12-2022,6.02,31.22,2022,12,-55.7004245,High
Ethiopia,Rural,Maize,114.74,SDG,14-03-2022,6.02,31.22,2022,3,,High
Nigeria,Wholesale,Wheat,101.98,PKR,11-06-2022,6.02,31.22,2022,6,13.66473473,High
Kenya,Rural,Rice,106.44,HTG,23-06-2017,6.02,31.22,2017,6,-36.89826891,High
Kenya,Wholesale,Cooking Oil,85.46,NPR,30-11-2023,6.02,31.22,2023,11,,High
Haiti,Unknown,Cooking Oil,153.18,INR,18-01-2015,6.02,31.22,2015,1,27.69256419,High
Ethiopia,Wholesale,Rice,154.62,YER,16-06-2024,6.02,31.22,2024,6,102.8867603,High
Kenya,Rural,Cooking Oil,72.68,HTG,21-12-2024,6.02,31.22,2024,12,-14.95436462,High
Nigeria,Wholesale,Wheat,103.64,KES,15-08-2022,6.02,31.22,2022,8,1.627770151,High
Haiti,Urban,Sugar,36.84,PKR,12-09-2016,6.02,31.22,2016,9,,High
Nigeria,Wholesale,Rice,133.41,NPR,04-10-2016,6.02,31.22,2016,10,,High
Haiti,Rural,Maize,153.1,ETB,25-06-2016,6.02,31.22,2016,6,,High
Ethiopia,Urban,Rice,91.215,YER,19-10-2024,6.02,31.22,2024,10,-41.00698487,High
Nepal,Rural,Wheat,58.58,PKR,08-12-2023,6.02,31.22,2023,12,-63.97515528,High
Sudan,Wholesale,Pulses,164.61,INR,17-07-2015,6.02,31.22,2015,7,,High
Yemen,Retail,Maize,181.22,NPR,19-06-2018,6.02,31.22,2018,6,71.80508153,High
Nepal,Rural,Sugar,82.72,YER,08-11-2020,6.02,31.22,2020,11,5.496747864,High
Pakistan,Wholesale,Cooking Oil,117.82,PKR,22-10-2017,6.02,31.22,2017,10,32.76988957,High
Nigeria,Retail,Rice,132.67,PKR,26-02-2017,6.02,31.22,2017,2,-0.554681058,High
Pakistan,Retail,Maize,131.5,KES,03-09-2017,6.02,31.22,2017,9,,High
Nepal,Urban,Rice,101.93,YER,31-08-2016,6.02,31.22,2016,8,,High
Haiti,Retail,Sugar,171.91,PKR,09-04-2016,6.02,31.22,2016,4,366.6395223,High
Yemen,Rural,Rice,37.39,NGN,13-07-2020,6.02,31.22,2020,7,-48.32066344,High
Yemen,Rural,Maize,37.9,BDT,10-03-2024,6.02,31.22,2024,3,-79.08619358,High
India,Retail,Wheat,99.37,HTG,25-09-2022,6.02,31.22,2022,9,,High
Yemen,Wholesale,Pulses,169.74,BDT,24-10-2017,6.02,31.22,2017,10,,High
Sudan,Rural,Maize,146.39,YER,15-06-2018,6.02,31.22,2018,6,-1.387672617,High
Yemen,Rural,Rice,40.27,NPR,12-02-2022,6.02,31.22,2022,2,7.702594277,High
India,Wholesale,Cooking Oil,122.17,PKR,04-02-2023,6.02,31.22,2023,2,93.39876524,High
Nepal,Retail,Cooking Oil,53.91,HTG,23-06-2024,6.02,31.22,2024,6,,High
Nepal,Wholesale,Unknown,96.32,NGN,22-07-2020,6.02,31.22,2020,7,,High
Bangladesh,Urban,Rice,138.69,YER,23-04-2024,6.02,31.22,2024,4,,High
India,Urban,Pulses,150.1,HTG,23-12-2019,6.02,31.22,2019,12,,High
Nepal,Wholesale,Sugar,97.36,NPR,29-08-2015,6.02,31.22,2015,8,17.69825919,High
Bangladesh,Urban,Rice,120.89,PKR,27-06-2019,6.02,31.22,2019,6,-12.83437883,High
Bangladesh,Urban,Maize,95.01,KES,27-10-2022,6.02,31.22,2022,10,,High
India,Urban,Pulses,97.37,YER,27-02-2019,6.02,31.22,2019,2,-35.12991339,High
Pakistan,Wholesale,Wheat,128.99,INR,22-01-2023,6.02,31.22,2023,1,19.87918216,High
Haiti,Urban,Rice,157.63,ETB,04-10-2017,6.02,31.22,2017,10,22.20327157,High
Sudan,Unknown,Cooking Oil,54.5,PKR,30-07-2023,6.02,31.22,2023,7,,High
Haiti,Retail,Cooking Oil,90.69,YER,31-07-2023,6.02,31.22,2023,7,-40.79514297,High
Yemen,Rural,Pulses,75.92,PKR,28-10-2019,6.02,31.22,2019,10,-55.27277012,High
Sudan,Retail,Wheat,59.68,PKR,15-09-2022,6.02,31.22,2022,9,120.3840473,High
Yemen,Rural,Rice,57.64,BDT,24-11-2019,6.02,31.22,2019,11,43.13384654,High
Nepal,Wholesale,Wheat,101,NPR,15-01-2019,6.02,31.22,2019,1,72.4137931,High
Nigeria,Urban,Maize,57.1,SDG,02-03-2024,6.02,31.22,2024,3,-51.68796006,High
India,Retail,Wheat,55.74,NPR,28-03-2018,6.02,31.22,2018,3,-43.90661165,High
Sudan,Rural,Maize,92.83,ETB,24-01-2024,6.02,31.22,2024,1,-36.58719858,High
Sudan,Wholesale,Cooking Oil,60.82,NPR,21-09-2020,6.02,31.22,2020,9,11.59633028,High
Nepal,Rural,Maize,120.34,HTG,24-04-2020,6.02,31.22,2020,4,19.43231441,High
Pakistan,Urban,Rice,80.83,ETB,01-01-2023,6.02,31.22,2023,1,-17.22478239,High
Bangladesh,Retail,Pulses,52.22,INR,17-02-2016,6.02,31.22,2016,2,,High
Nepal,Wholesale,Pulses,193.03,ETB,11-08-2024,6.02,31.22,2024,8,164.2436687,High
Kenya,Rural,Rice,14.69,PKR,30-08-2018,6.02,31.22,2018,8,-86.19879744,High
Bangladesh,Wholesale,Rice,134.25,HTG,29-10-2023,6.02,31.22,2023,10,11.05136901,High
India,Rural,Rice,113.84,NPR,08-01-2018,6.02,31.22,2018,1,,High
Bangladesh,Rural,Sugar,80.61,HTG,14-10-2023,6.02,31.22,2023,10,-21.17923145,High
Pakistan,Urban,Maize,63.69,KES,15-10-2019,6.02,31.22,2019,10,-51.56653992,High
Bangladesh,Urban,Rice,169.14,HTG,13-01-2019,6.02,31.22,2019,1,25.98882682,High
India,Rural,Pulses,184.96,PKR,10-11-2018,6.02,31.22,2018,11,89.95583855,High
Pakistan,Retail,Wheat,88.29,BDT,28-08-2019,6.02,31.22,2019,8,-31.55283355,High
Haiti,Wholesale,Wheat,82.47,ETB,27-08-2021,6.02,31.22,2021,8,-56.24005094,High
Sudan,Unknown,Sugar,145.15,KES,14-06-2015,6.02,31.22,2015,6,100.0964985,High
Sudan,Urban,Maize,90.16,KES,09-12-2016,6.02,31.22,2016,12,-2.876225358,High
Yemen,Retail,Maize,123.34,KES,07-06-2021,6.02,31.22,2021,6,225.4353562,High
Haiti,Rural,Maize,97.4,NGN,12-02-2017,6.02,31.22,2017,2,-36.38145003,High
Haiti,Urban,Unknown,101.49,NPR,07-12-2017,6.02,31.22,2017,12,,High
Bangladesh,Rural,Pulses,106.6,NPR,24-02-2018,6.02,31.22,2018,2,104.1363462,High
Sudan,Rural,Sugar,114.78,KES,03-01-2016,6.02,31.22,2016,1,-20.92318291,High
India,Urban,Maize,56.46,ETB,19-05-2022,6.02,31.22,2022,5,-37.42657653,High
Ethiopia,Retail,Maize,72.81,NGN,01-07-2023,6.02,31.22,2023,7,-36.54348963,High
Ethiopia,Wholesale,Rice,109.03,KES,29-12-2021,6.02,31.22,2021,12,19.53077893,High
Pakistan,Unknown,Maize,100.09,KES,04-09-2016,6.02,31.22,2016,9,57.15182917,High
Sudan,Rural,Rice,105.3,BDT,17-07-2022,6.02,31.22,2022,7,-35.01604542,High
Ethiopia,Urban,Rice,30.47,NGN,17-12-2023,6.02,31.22,2023,12,-72.05356324,High
Bangladesh,Wholesale,Wheat,132.84,NPR,17-11-2017,6.02,31.22,2017,11,-11.11408498,High
