Country,Market_Type,Commodity,Price,Currency,Date,Inflation_Rate,Hunger_Index
Sudan,Urban,Wheat,27.08,NGN,22-05-2020,6.02,
Ethiopia,,Wheat,116.39,KES,23-09-2015,6.02,31.22
Nepal,Urban,Sugar,39.38,INR,15-02-2021,,
Pakistan,Wholesale,Rice,97.65,SDG,29-11-2023,,31.22
Sudan,Rural,Maize,112.7,ETB,01-08-2021,6.02,
Haiti,Retail,Cooking Oil,88.89,SDG,19-05-2015,,31.22
bangladesh,Wholesale,Sugar,89.07,ETB,30-06-2016,,
Sudan,Retail,Rice,162.04,ETB,09-03-2019,,31.22
Nepal,Rural,Wheat,162.61,ETB,14-02-2019,6.02,31.22
Pakistan,Wholesale,Pulses,63.3,HTG,16-05-2024,6.02,
Ethiopia,Rural,Rice,76.21,HTG,27-09-2018,,31.22
Nepal,Retail,Sugar,78.41,NPR,11-01-2023,6.02,
Nepal,Urban,Pulses,98.74,NGN,06-05-2020,6.02,
Bangladesh,Urban,Wheat,96.72,NPR,14-03-2015,6.02,
Kenya,Retail,Rice,168.68,HTG,12-06-2015,,
Pakistan,Urban,Cooking Oil,92.58,INR,11-08-2015,6.02,31.22
Nigeria,Retail,Maize,58.79,SDG,20-06-2020,6.02,31.22
Nepal,Wholesale,Maize,,SDG,04-07-2015,,31.22
Kenya,Wholesale,Sugar,114.94,KES,05-04-2015,,31.22
Nigeria,Wholesale,Wheat,89.72,ETB,14-11-2016,6.02,
Pakistan,Urban,Wheat,112.54,PKR,03-04-2024,6.02,
India,Rural,Maize,90.23,INR,02-09-2017,6.02,
Haiti,Urban,Rice,128.99,NGN,25-10-2023,,31.22
Kenya,Urban,Wheat,96.47,HTG,13-04-2024,6.02,31.22
Yemen,Rural,Cooking Oil,51.34,SDG,25-11-2023,,
India,Rural,Cooking Oil,86.13,NGN,25-05-2022,,
Haiti,Rural,Wheat,188.46,NPR,07-08-2018,,
Bangladesh,Rural,Wheat,149.45,SDG,19-12-2021,6.02,
Sudan,Urban,Maize,53.53,HTG,26-03-2024,6.02,
Ethiopia,Retail,Sugar,171.14,NPR,07-11-2023,6.02,
Yemen,Wholesale,Maize,105.48,ETB,02-03-2015,,31.22
Bangladesh,Retail,Sugar,80.46,INR,18-12-2022,,31.22
Pakistan,Urban,Cooking Oil,88.74,SDG,20-10-2020,6.02,
Bangladesh,Rural,Sugar,102.27,INR,31-12-2018,6.02,31.22
Sudan,Wholesale,Maize,143.36,SDG,26-04-2016,,31.22
Pakistan,Wholesale,Wheat,107.6,YER,25-04-2015,6.02,31.22
Yemen,Retail,Sugar,113.34,PKR,14-05-2018,6.02,31.22
Sudan,Urban,Maize,148.45,NGN,28-04-2024,,
Nigeria,Urban,Cooking Oil,84.04,INR,31-03-2024,,
Ethiopia,,Pulses,112.1,NPR,29-06-2017,6.02,31.22
Yemen,Wholesale,Sugar,117.56,ETB,07-07-2016,,
Nigeria,Retail,Cooking Oil,105.39,NPR,20-03-2020,,31.22
Haiti,Wholesale,Cooking Oil,119.96,NGN,05-04-2019,6.02,
Yemen,Wholesale,Rice,72.35,BDT,12-10-2023,,
Haiti,Rural,Pulses,139.2,BDT,28-12-2024,6.02,31.22
Pakistan,Retail,Sugar,77.85,ETB,20-03-2018,,
Nigeria,Rural,Maize,118.19,YER,08-02-2022,6.02,
Ethiopia,Urban,Sugar,108.42,YER,20-05-2015,,
Sudan,Wholesale,Sugar,72.54,PKR,20-09-2021,,31.22
Nepal,Retail,Pulses,164.9,SDG,04-05-2016,,31.22
Bangladesh,Urban,Cooking Oil,168.66,YER,14-04-2020,6.02,31.22
India,Retail,Cooking Oil,63.17,INR,15-06-2017,,
Ethiopia,Wholesale,Cooking Oil,131.97,NGN,24-07-2015,,
Nigeria,Retail,Cooking Oil,95.1,KES,31-05-2021,,31.22
Nepal,Urban,Pulses,73.05,BDT,18-12-2022,,31.22
Ethiopia,Rural,Maize,114.74,SDG,14-03-2022,6.02,31.22
Nigeria,Wholesale,Wheat,,PKR,11-06-2022,,31.22
Kenya,Rural,Rice,106.44,HTG,23-06-2017,,
Kenya,Wholesale,Cooking Oil,85.46,NPR,30-11-2023,,
Haiti,,Cooking Oil,153.18,INR,18-01-2015,,
Ethiopia,Wholesale,Rice,154.62,YER,16-06-2024,6.02,
Kenya,Rural,Cooking Oil,72.68,HTG,21-12-2024,,31.22
Nigeria,Wholesale,Wheat,103.64,KES,15-08-2022,6.02,31.22
Haiti,Urban,Sugar,36.84,PKR,12-09-2016,6.02,31.22
Nigeria,Wholesale,Rice,133.41,NPR,04-10-2016,6.02,
Haiti,Rural,Maize,153.1,ETB,25-06-2016,,31.22
Ethiopia,Urban,Rice,,YER,19-10-2024,6.02,31.22
Nepal,Rural,Wheat,58.58,PKR,08-12-2023,,31.22
Sudan,Wholesale,Pulses,164.61,INR,17-07-2015,6.02,
Yemen,Retail,Maize,181.22,NPR,19-06-2018,,31.22
Nepal,Rural,Sugar,82.72,YER,08-11-2020,,31.22
Pakistan,Wholesale,Cooking Oil,117.82,PKR,22-10-2017,,
Nigeria,Retail,Rice,132.67,PKR,26-02-2017,6.02,
Pakistan,Retail,Maize,131.5,KES,03-09-2017,,31.22
Nepal,Urban,Rice,101.93,YER,31-08-2016,6.02,31.22
Haiti,Retail,Sugar,171.91,PKR,09-04-2016,,31.22
Yemen,Rural,Rice,37.39,NGN,13-07-2020,,
Yemen,Rural,Maize,37.9,BDT,10-03-2024,,
India,Retail,Wheat,99.37,HTG,25-09-2022,6.02,31.22
Yemen,Wholesale,Pulses,169.74,BDT,24-10-2017,6.02,
Sudan,Rural,Maize,146.39,YER,15-06-2018,,
Yemen,Rural,Rice,40.27,NPR,12-02-2022,,
Nepal,Urban,Sugar,213.74,KES,11-08-2024,,31.22
India,Wholesale,Cooking Oil,122.17,PKR,04-02-2023,,
Nepal,Retail,Cooking Oil,53.91,HTG,23-06-2024,,
Nepal,Wholesale, ,96.32,NGN,22-07-2020,,31.22
Bangladesh,Urban,Rice,138.69,YER,23-04-2024,6.02,
India,Urban,Pulses,150.1,HTG,23-12-2019,,31.22
Nepal,Wholesale,Sugar,97.36,NPR,29-08-2015,6.02,
Bangladesh,Urban,Rice,120.89,PKR,27-06-2019,6.02,31.22
Bangladesh,Urban,Maize,95.01,KES,27-10-2022,,
India,Urban,Pulses,97.37,YER,27-02-2019,,
Pakistan,Wholesale,Wheat,128.99,INR,22-01-2023,6.02,
Haiti,Urban,Rice,157.63,ETB,04-10-2017,6.02,
Sudan,,Cooking Oil,54.5,PKR,30-07-2023,6.02,31.22
Haiti,Retail,Cooking Oil,90.69,YER,31-07-2023,,
Yemen,Rural,Pulses,75.92,PKR,28-10-2019,,
Sudan,Retail,Wheat,59.68,PKR,15-09-2022,6.02,
Yemen,Rural,Rice,57.64,BDT,24-11-2019,6.02,31.22
Nepal,Wholesale,Wheat,101,NPR,15-01-2019,,
Nigeria,Urban,Maize,57.1,SDG,02-03-2024,6.02,
